city,location,value,unit,country,coordinates,timestamp
Patna,Patna_Central,133.8,µg/m³,IN,"{'latitude': 28.676315892257836, 'longitude': 76.9435369668406}",2025-09-30 17:30:50.877925
Vadodara,Vadodara_Central,67.9,µg/m³,IN,"{'latitude': 28.693736414388223, 'longitude': 77.24358192501111}",2025-09-30 17:30:50.877925
Ludhiana,Ludhiana_Central,143.8,µg/m³,IN,"{'latitude': 28.707626073958522, 'longitude': 77.09893603573997}",2025-09-30 17:30:50.877925
Agra,Agra_Central,117.7,µg/m³,IN,"{'latitude': 28.582364527168345, 'longitude': 77.20333206849436}",2025-09-30 17:30:50.877925
Nashik,Nashik_Central,39.4,µg/m³,IN,"{'latitude': 28.589460081992517, 'longitude': 77.4270287846605}",2025-09-30 17:30:50.877925
Faridabad,Faridabad_Central,72.1,µg/m³,IN,"{'latitude': 28.74881497972039, 'longitude': 77.35796258046787}",2025-09-30 17:30:50.877925
Delhi,Delhi_Central,50.6,µg/m³,IN,"{'latitude': 28.59442282665697, 'longitude': 77.08769536069461}",2025-09-30 18:30:50.877925
Mumbai,Mumbai_Central,98.7,µg/m³,IN,"{'latitude': 28.603748968337353, 'longitude': 77.30666264182479}",2025-09-30 18:30:50.877925
Kolkata,Kolkata_Central,38.3,µg/m³,IN,"{'latitude': 28.82237651991503, 'longitude': 77.37279077337769}",2025-09-30 18:30:50.877925
Chennai,Chennai_Central,84.6,µg/m³,IN,"{'latitude': 28.7913932589965, 'longitude': 77.2301558104542}",2025-09-30 18:30:50.877925
Bangalore,Bangalore_Central,63.4,µg/m³,IN,"{'latitude': 28.506193700305108, 'longitude': 77.2446070855417}",2025-09-30 18:30:50.877925
Hyderabad,Hyderabad_Central,35.2,µg/m³,IN,"{'latitude': 28.62476760071342, 'longitude': 77.12070362896458}",2025-09-30 18:30:50.877925
Pune,Pune_Central,70.1,µg/m³,IN,"{'latitude': 28.475437750848823, 'longitude': 77.30221854160227}",2025-09-30 18:30:50.877925
Ahmedabad,Ahmedabad_Central,188.6,µg/m³,IN,"{'latitude': 28.52374978079062, 'longitude': 77.14689952062785}",2025-09-30 18:30:50.877925
Jaipur,Jaipur_Central,130.1,µg/m³,IN,"{'latitude': 28.71398070329201, 'longitude': 77.18661478669839}",2025-09-30 18:30:50.877925
Lucknow,Lucknow_Central,149.1,µg/m³,IN,"{'latitude': 28.583447654117137, 'longitude': 77.15792273484008}",2025-09-30 18:30:50.877925
Kanpur,Kanpur_Central,170.5,µg/m³,IN,"{'latitude': 28.70499504843468, 'longitude': 77.3383057997616}",2025-09-30 18:30:50.877925
Nagpur,Nagpur_Central,58.1,µg/m³,IN,"{'latitude': 28.539533573737216, 'longitude': 77.32373171503491}",2025-09-30 18:30:50.877925
Indore,Indore_Central,95.0,µg/m³,IN,"{'latitude': 28.669260129142128, 'longitude': 77.27885574275602}",2025-09-30 18:30:50.877925
Bhopal,Bhopal_Central,73.2,µg/m³,IN,"{'latitude': 28.59919046829693, 'longitude': 77.22740944256915}",2025-09-30 18:30:50.877925
Patna,Patna_Central,187.2,µg/m³,IN,"{'latitude': 28.779036608716734, 'longitude': 77.30240524466828}",2025-09-30 18:30:50.877925
Vadodara,Vadodara_Central,129.7,µg/m³,IN,"{'latitude': 28.549369927779722, 'longitude': 77.22966325555444}",2025-09-30 18:30:50.877925
Ludhiana,Ludhiana_Central,57.1,µg/m³,IN,"{'latitude': 28.492970187340305, 'longitude': 77.09022224303045}",2025-09-30 18:30:50.877925
Agra,Agra_Central,27.8,µg/m³,IN,"{'latitude': 28.75299228765932, 'longitude': 77.19208995521703}",2025-09-30 18:30:50.877925
Nashik,Nashik_Central,80.1,µg/m³,IN,"{'latitude': 28.644374796471904, 'longitude': 77.38596822744056}",2025-09-30 18:30:50.877925
Faridabad,Faridabad_Central,155.2,µg/m³,IN,"{'latitude': 28.74832394203009, 'longitude': 77.312630312048}",2025-09-30 18:30:50.877925
Delhi,Delhi_Central,113.1,µg/m³,IN,"{'latitude': 28.455648348521766, 'longitude': 77.1439986628242}",2025-09-30 19:30:50.877925
Mumbai,Mumbai_Central,76.1,µg/m³,IN,"{'latitude': 28.55377534137989, 'longitude': 77.18136456611015}",2025-09-30 19:30:50.877925
Kolkata,Kolkata_Central,132.0,µg/m³,IN,"{'latitude': 28.524979905750804, 'longitude': 77.1925827136779}",2025-09-30 19:30:50.877925
Bangalore,Bangalore_Central,66.1,µg/m³,IN,"{'latitude': 28.650273572462275, 'longitude': 77.27524588131585}",2025-09-30 19:30:50.877925
Hyderabad,Hyderabad_Central,63.0,µg/m³,IN,"{'latitude': 28.702538260012453, 'longitude': 77.18623398993539}",2025-09-30 19:30:50.877925
Pune,Pune_Central,38.3,µg/m³,IN,"{'latitude': 28.835422096824672, 'longitude': 77.0712670762708}",2025-09-30 19:30:50.877925
Ahmedabad,Ahmedabad_Central,113.0,µg/m³,IN,"{'latitude': 28.479236194387035, 'longitude': 77.15678084887189}",2025-09-30 19:30:50.877925
Jaipur,Jaipur_Central,81.2,µg/m³,IN,"{'latitude': 28.708454499057126, 'longitude': 77.19911359560855}",2025-09-30 19:30:50.877925
Lucknow,Lucknow_Central,127.9,µg/m³,IN,"{'latitude': 28.57312781559786, 'longitude': 77.18795332420741}",2025-09-30 19:30:50.877925
Kanpur,Kanpur_Central,108.6,µg/m³,IN,"{'latitude': 28.56049614248082, 'longitude': 77.19802821582108}",2025-09-30 19:30:50.877925
Nagpur,Nagpur_Central,97.7,µg/m³,IN,"{'latitude': 28.5793951310458, 'longitude': 77.20751947454637}",2025-09-30 19:30:50.877925
Indore,Indore_Central,77.4,µg/m³,IN,"{'latitude': 28.678174419923973, 'longitude': 77.17705538024899}",2025-09-30 19:30:50.877925
Bhopal,Bhopal_Central,95.1,µg/m³,IN,"{'latitude': 28.696914556526878, 'longitude': 77.18198449300264}",2025-09-30 19:30:50.877925
Patna,Patna_Central,138.0,µg/m³,IN,"{'latitude': 28.688332013250943, 'longitude': 77.1323528522519}",2025-09-30 19:30:50.877925
Vadodara,Vadodara_Central,112.9,µg/m³,IN,"{'latitude': 28.642529895347838, 'longitude': 77.16052383769022}",2025-09-30 19:30:50.877925
Ludhiana,Ludhiana_Central,102.6,µg/m³,IN,"{'latitude': 28.507120974910013, 'longitude': 77.2636625308754}",2025-09-30 19:30:50.877925
Agra,Agra_Central,139.0,µg/m³,IN,"{'latitude': 28.65949584422567, 'longitude': 77.07760636036323}",2025-09-30 19:30:50.877925
Nashik,Nashik_Central,60.1,µg/m³,IN,"{'latitude': 28.735585820939555, 'longitude': 77.2181321913387}",2025-09-30 19:30:50.877925
Faridabad,Faridabad_Central,93.1,µg/m³,IN,"{'latitude': 28.63944633698492, 'longitude': 77.08548264473312}",2025-09-30 19:30:50.877925
Delhi,Delhi_Central,111.0,µg/m³,IN,"{'latitude': 28.674702877526197, 'longitude': 77.26284348752628}",2025-09-30 20:30:50.877925
Mumbai,Mumbai_Central,98.2,µg/m³,IN,"{'latitude': 28.40035395181679, 'longitude': 77.17925090945494}",2025-09-30 20:30:50.877925
Kolkata,Kolkata_Central,44.9,µg/m³,IN,"{'latitude': 28.568796411342102, 'longitude': 77.27411421482304}",2025-09-30 20:30:50.877925
Chennai,Chennai_Central,68.4,µg/m³,IN,"{'latitude': 28.51096913435466, 'longitude': 77.09235240943816}",2025-09-30 20:30:50.877925
Bangalore,Bangalore_Central,40.6,µg/m³,IN,"{'latitude': 28.66404286696599, 'longitude': 77.25107159841833}",2025-09-30 20:30:50.877925
Hyderabad,Hyderabad_Central,56.1,µg/m³,IN,"{'latitude': 28.877691349685044, 'longitude': 77.19007335421831}",2025-09-30 20:30:50.877925
Pune,Pune_Central,83.9,µg/m³,IN,"{'latitude': 28.646562022445032, 'longitude': 77.30313191933917}",2025-09-30 20:30:50.877925
Ahmedabad,Ahmedabad_Central,90.1,µg/m³,IN,"{'latitude': 28.799265097499482, 'longitude': 77.31778625255329}",2025-09-30 20:30:50.877925
Jaipur,Jaipur_Central,98.9,µg/m³,IN,"{'latitude': 28.755604619261725, 'longitude': 77.17848062495206}",2025-09-30 20:30:50.877925
Lucknow,Lucknow_Central,129.7,µg/m³,IN,"{'latitude': 28.57065070195984, 'longitude': 77.17974272849071}",2025-09-30 20:30:50.877925
Kanpur,Kanpur_Central,127.6,µg/m³,IN,"{'latitude': 28.82216233068783, 'longitude': 77.33384796931631}",2025-09-30 20:30:50.877925
Nagpur,Nagpur_Central,78.6,µg/m³,IN,"{'latitude': 28.606406900140573, 'longitude': 77.22899860920835}",2025-09-30 20:30:50.877925
Indore,Indore_Central,70.2,µg/m³,IN,"{'latitude': 28.451263795457923, 'longitude': 77.16693882245386}",2025-09-30 20:30:50.877925
Bhopal,Bhopal_Central,81.3,µg/m³,IN,"{'latitude': 28.783663403260533, 'longitude': 77.10445994751885}",2025-09-30 20:30:50.877925
Patna,Patna_Central,139.8,µg/m³,IN,"{'latitude': 28.39048980726805, 'longitude': 77.37944398030531}",2025-09-30 20:30:50.877925
Vadodara,Vadodara_Central,71.3,µg/m³,IN,"{'latitude': 28.5949828661088, 'longitude': 77.21229354361262}",2025-09-30 20:30:50.877925
Ludhiana,Ludhiana_Central,104.2,µg/m³,IN,"{'latitude': 28.590465226494405, 'longitude': 77.11677661026319}",2025-09-30 20:30:50.877925
Agra,Agra_Central,97.9,µg/m³,IN,"{'latitude': 28.661490265951247, 'longitude': 77.12194518411013}",2025-09-30 20:30:50.877925
Nashik,Nashik_Central,60.2,µg/m³,IN,"{'latitude': 28.583997843274595, 'longitude': 77.3804985505264}",2025-09-30 20:30:50.877925
Faridabad,Faridabad_Central,139.6,µg/m³,IN,"{'latitude': 28.63639146116699, 'longitude': 77.20874317883747}",2025-09-30 20:30:50.877925
Delhi,Delhi_Central,213.9,µg/m³,IN,"{'latitude': 28.834931003860657, 'longitude': 77.11255004567872}",2025-09-30 21:30:50.877925
Mumbai,Mumbai_Central,87.4,µg/m³,IN,"{'latitude': 28.594503760465493, 'longitude': 77.18493199176909}",2025-09-30 21:30:50.877925
Kolkata,Kolkata_Central,79.6,µg/m³,IN,"{'latitude': 28.521748113081014, 'longitude': 77.14146069907024}",2025-09-30 21:30:50.877925
Chennai,Chennai_Central,53.2,µg/m³,IN,"{'latitude': 28.59799927013688, 'longitude': 77.33652161787386}",2025-09-30 21:30:50.877925
Bangalore,Bangalore_Central,58.6,µg/m³,IN,"{'latitude': 28.663095266124394, 'longitude': 77.34761603386718}",2025-09-30 21:30:50.877925
Hyderabad,Hyderabad_Central,95.0,µg/m³,IN,"{'latitude': 28.69558104275708, 'longitude': 77.2368498780887}",2025-09-30 21:30:50.877925
Pune,Pune_Central,64.3,µg/m³,IN,"{'latitude': 28.553510421642343, 'longitude': 77.18093677848606}",2025-09-30 21:30:50.877925
Ahmedabad,Ahmedabad_Central,114.8,µg/m³,IN,"{'latitude': 28.683181852826035, 'longitude': 77.08922361966287}",2025-09-30 21:30:50.877925
Jaipur,Jaipur_Central,178.3,µg/m³,IN,"{'latitude': 28.772104758350444, 'longitude': 77.37648404364305}",2025-09-30 21:30:50.877925
Lucknow,Lucknow_Central,111.7,µg/m³,IN,"{'latitude': 28.72887252426357, 'longitude': 77.12997362106843}",2025-09-30 21:30:50.877925
Kanpur,Kanpur_Central,145.1,µg/m³,IN,"{'latitude': 28.707733536380513, 'longitude': 77.08530865406397}",2025-09-30 21:30:50.877925
Nagpur,Nagpur_Central,47.8,µg/m³,IN,"{'latitude': 28.36997945145475, 'longitude': 77.18275158246752}",2025-09-30 21:30:50.877925
Indore,Indore_Central,68.2,µg/m³,IN,"{'latitude': 28.755401095238525, 'longitude': 77.18365850111647}",2025-09-30 21:30:50.877925
Bhopal,Bhopal_Central,81.8,µg/m³,IN,"{'latitude': 28.68857053937015, 'longitude': 77.23957203119991}",2025-09-30 21:30:50.877925
Patna,Patna_Central,145.6,µg/m³,IN,"{'latitude': 28.673928057277795, 'longitude': 77.26910484995267}",2025-09-30 21:30:50.877925
Vadodara,Vadodara_Central,106.0,µg/m³,IN,"{'latitude': 28.460543443579965, 'longitude': 77.26024677244881}",2025-09-30 21:30:50.877925
Agra,Agra_Central,125.2,µg/m³,IN,"{'latitude': 28.443000749518287, 'longitude': 77.36182967777407}",2025-09-30 21:30:50.877925
Nashik,Nashik_Central,56.6,µg/m³,IN,"{'latitude': 28.52816804004957, 'longitude': 77.46227745708872}",2025-09-30 21:30:50.877925
Faridabad,Faridabad_Central,171.6,µg/m³,IN,"{'latitude': 28.716961272630115, 'longitude': 77.22376744088078}",2025-09-30 21:30:50.877925
Delhi,Delhi_Central,180.5,µg/m³,IN,"{'latitude': 28.664568387252782, 'longitude': 77.45821296102694}",2025-09-30 22:30:50.877925
Mumbai,Mumbai_Central,78.2,µg/m³,IN,"{'latitude': 28.590768059388513, 'longitude': 77.27862513072142}",2025-09-30 22:30:50.877925
Kolkata,Kolkata_Central,95.5,µg/m³,IN,"{'latitude': 28.767104277060685, 'longitude': 77.25286470138101}",2025-09-30 22:30:50.877925
Chennai,Chennai_Central,39.6,µg/m³,IN,"{'latitude': 28.539001380001395, 'longitude': 77.22449283709236}",2025-09-30 22:30:50.877925
Bangalore,Bangalore_Central,45.7,µg/m³,IN,"{'latitude': 28.72182677040211, 'longitude': 77.15155459799088}",2025-09-30 22:30:50.877925
Hyderabad,Hyderabad_Central,52.8,µg/m³,IN,"{'latitude': 28.462763937335687, 'longitude': 77.11250000165539}",2025-09-30 22:30:50.877925
Pune,Pune_Central,30.5,µg/m³,IN,"{'latitude': 28.5081973740372, 'longitude': 77.19396475729347}",2025-09-30 22:30:50.877925
Ahmedabad,Ahmedabad_Central,50.3,µg/m³,IN,"{'latitude': 28.60894155675799, 'longitude': 77.19648499966047}",2025-09-30 22:30:50.877925
Jaipur,Jaipur_Central,79.8,µg/m³,IN,"{'latitude': 28.569513332012146, 'longitude': 77.11959055278152}",2025-09-30 22:30:50.877925
Lucknow,Lucknow_Central,105.8,µg/m³,IN,"{'latitude': 28.72067077486025, 'longitude': 77.27176626577211}",2025-09-30 22:30:50.877925
Kanpur,Kanpur_Central,184.5,µg/m³,IN,"{'latitude': 28.538552747437038, 'longitude': 77.18523058200218}",2025-09-30 22:30:50.877925
Nagpur,Nagpur_Central,64.6,µg/m³,IN,"{'latitude': 28.613010874833666, 'longitude': 77.28937468226783}",2025-09-30 22:30:50.877925
Indore,Indore_Central,73.4,µg/m³,IN,"{'latitude': 28.66781545853658, 'longitude': 77.02560226254698}",2025-09-30 22:30:50.877925
Bhopal,Bhopal_Central,116.5,µg/m³,IN,"{'latitude': 28.725006635770512, 'longitude': 77.03200466623177}",2025-09-30 22:30:50.877925
Patna,Patna_Central,97.1,µg/m³,IN,"{'latitude': 28.616069339915782, 'longitude': 77.11638965484578}",2025-09-30 22:30:50.877925
Vadodara,Vadodara_Central,86.6,µg/m³,IN,"{'latitude': 28.627318686961935, 'longitude': 77.26321977538397}",2025-09-30 22:30:50.877925
Ludhiana,Ludhiana_Central,146.2,µg/m³,IN,"{'latitude': 28.741526685245134, 'longitude': 77.16842568350461}",2025-09-30 22:30:50.877925
Nashik,Nashik_Central,54.1,µg/m³,IN,"{'latitude': 28.709924498642017, 'longitude': 77.32653610324962}",2025-09-30 22:30:50.877925
Faridabad,Faridabad_Central,147.6,µg/m³,IN,"{'latitude': 28.651004053433503, 'longitude': 77.25486938774206}",2025-09-30 22:30:50.877925
Delhi,Delhi_Central,67.6,µg/m³,IN,"{'latitude': 28.555806358178554, 'longitude': 77.38041488974774}",2025-09-30 23:30:50.877925
Mumbai,Mumbai_Central,58.1,µg/m³,IN,"{'latitude': 28.63985841628019, 'longitude': 77.16677359339921}",2025-09-30 23:30:50.877925
Kolkata,Kolkata_Central,97.5,µg/m³,IN,"{'latitude': 28.640172320771068, 'longitude': 77.29474644607099}",2025-09-30 23:30:50.877925
Bangalore,Bangalore_Central,44.9,µg/m³,IN,"{'latitude': 28.574917895853677, 'longitude': 77.30456166665506}",2025-09-30 23:30:50.877925
Hyderabad,Hyderabad_Central,52.2,µg/m³,IN,"{'latitude': 28.62159216285566, 'longitude': 77.12048682732726}",2025-09-30 23:30:50.877925
Pune,Pune_Central,54.2,µg/m³,IN,"{'latitude': 28.43750405857133, 'longitude': 77.14027070688721}",2025-09-30 23:30:50.877925
Ahmedabad,Ahmedabad_Central,35.7,µg/m³,IN,"{'latitude': 28.587479930316633, 'longitude': 77.24372502530504}",2025-09-30 23:30:50.877925
Jaipur,Jaipur_Central,89.6,µg/m³,IN,"{'latitude': 28.547089398860802, 'longitude': 77.16222026603607}",2025-09-30 23:30:50.877925
Lucknow,Lucknow_Central,122.7,µg/m³,IN,"{'latitude': 28.597229007823305, 'longitude': 77.23352453576084}",2025-09-30 23:30:50.877925
Kanpur,Kanpur_Central,64.6,µg/m³,IN,"{'latitude': 28.566255107235218, 'longitude': 77.04774900633585}",2025-09-30 23:30:50.877925
Nagpur,Nagpur_Central,71.7,µg/m³,IN,"{'latitude': 28.47889299695667, 'longitude': 77.25380869100242}",2025-09-30 23:30:50.877925
Indore,Indore_Central,135.4,µg/m³,IN,"{'latitude': 28.45898190724418, 'longitude': 77.32678097086738}",2025-09-30 23:30:50.877925
Bhopal,Bhopal_Central,46.5,µg/m³,IN,"{'latitude': 28.66932302303088, 'longitude': 77.23031869656081}",2025-09-30 23:30:50.877925
Patna,Patna_Central,186.3,µg/m³,IN,"{'latitude': 28.776904045919018, 'longitude': 77.13913228849367}",2025-09-30 23:30:50.877925
Vadodara,Vadodara_Central,44.4,µg/m³,IN,"{'latitude': 28.51264185930297, 'longitude': 77.42262613163054}",2025-09-30 23:30:50.877925
Ludhiana,Ludhiana_Central,73.2,µg/m³,IN,"{'latitude': 28.51467183715719, 'longitude': 77.28554786039454}",2025-09-30 23:30:50.877925
Agra,Agra_Central,16.7,µg/m³,IN,"{'latitude': 28.58564634360668, 'longitude': 77.2578790993073}",2025-09-30 23:30:50.877925
Nashik,Nashik_Central,55.7,µg/m³,IN,"{'latitude': 28.64417485276605, 'longitude': 77.157253001894}",2025-09-30 23:30:50.877925
Faridabad,Faridabad_Central,83.2,µg/m³,IN,"{'latitude': 28.727881146136543, 'longitude': 77.18830652960244}",2025-09-30 23:30:50.877925
Delhi,Delhi_Central,121.0,µg/m³,IN,"{'latitude': 28.435549988108868, 'longitude': 77.18079720541604}",2025-10-01 00:30:50.877925
Mumbai,Mumbai_Central,92.3,µg/m³,IN,"{'latitude': 28.758058915706492, 'longitude': 77.32865085987942}",2025-10-01 00:30:50.877925
Kolkata,Kolkata_Central,37.6,µg/m³,IN,"{'latitude': 28.599221569733363, 'longitude': 77.12137772555238}",2025-10-01 00:30:50.877925
Chennai,Chennai_Central,82.3,µg/m³,IN,"{'latitude': 28.62193890617524, 'longitude': 77.28499642901794}",2025-10-01 00:30:50.877925
Bangalore,Bangalore_Central,38.1,µg/m³,IN,"{'latitude': 28.711768935774, 'longitude': 77.23751495236034}",2025-10-01 00:30:50.877925
Hyderabad,Hyderabad_Central,50.7,µg/m³,IN,"{'latitude': 28.566657396186088, 'longitude': 77.16809493757727}",2025-10-01 00:30:50.877925
Pune,Pune_Central,42.2,µg/m³,IN,"{'latitude': 28.59887043848585, 'longitude': 77.40826422881364}",2025-10-01 00:30:50.877925
Ahmedabad,Ahmedabad_Central,37.7,µg/m³,IN,"{'latitude': 28.711952948280928, 'longitude': 77.29892672718199}",2025-10-01 00:30:50.877925
Jaipur,Jaipur_Central,123.9,µg/m³,IN,"{'latitude': 28.542993239081422, 'longitude': 77.16875225089979}",2025-10-01 00:30:50.877925
Lucknow,Lucknow_Central,55.1,µg/m³,IN,"{'latitude': 28.64878780749901, 'longitude': 77.18357312009796}",2025-10-01 00:30:50.877925
Indore,Indore_Central,77.6,µg/m³,IN,"{'latitude': 28.507515261732678, 'longitude': 77.20736239627922}",2025-10-01 00:30:50.877925
Bhopal,Bhopal_Central,55.8,µg/m³,IN,"{'latitude': 28.70683323877316, 'longitude': 77.19836343413292}",2025-10-01 00:30:50.877925
Patna,Patna_Central,58.8,µg/m³,IN,"{'latitude': 28.65364895086293, 'longitude': 77.03304552647286}",2025-10-01 00:30:50.877925
Ludhiana,Ludhiana_Central,119.4,µg/m³,IN,"{'latitude': 28.57265086091574, 'longitude': 77.15503224272244}",2025-10-01 00:30:50.877925
Agra,Agra_Central,125.6,µg/m³,IN,"{'latitude': 28.657827320852203, 'longitude': 77.19603807294754}",2025-10-01 00:30:50.877925
Faridabad,Faridabad_Central,33.0,µg/m³,IN,"{'latitude': 28.556861903103755, 'longitude': 77.35866263170522}",2025-10-01 00:30:50.877925
Delhi,Delhi_Central,124.9,µg/m³,IN,"{'latitude': 28.68563872933714, 'longitude': 77.2059480167377}",2025-10-01 01:30:50.877925
Mumbai,Mumbai_Central,86.8,µg/m³,IN,"{'latitude': 28.57322836648755, 'longitude': 77.27611979937434}",2025-10-01 01:30:50.877925
Kolkata,Kolkata_Central,30.7,µg/m³,IN,"{'latitude': 28.500995467038845, 'longitude': 77.27312944915191}",2025-10-01 01:30:50.877925
Chennai,Chennai_Central,42.9,µg/m³,IN,"{'latitude': 28.683535101760825, 'longitude': 77.24872719711567}",2025-10-01 01:30:50.877925
Bangalore,Bangalore_Central,23.5,µg/m³,IN,"{'latitude': 28.5858379086452, 'longitude': 77.14966584755396}",2025-10-01 01:30:50.877925
Hyderabad,Hyderabad_Central,69.1,µg/m³,IN,"{'latitude': 28.652914259879555, 'longitude': 77.37567443137272}",2025-10-01 01:30:50.877925
Pune,Pune_Central,51.1,µg/m³,IN,"{'latitude': 28.532107545966586, 'longitude': 77.13235090006094}",2025-10-01 01:30:50.877925
Ahmedabad,Ahmedabad_Central,144.4,µg/m³,IN,"{'latitude': 28.53984124424077, 'longitude': 77.22137324924631}",2025-10-01 01:30:50.877925
Jaipur,Jaipur_Central,117.2,µg/m³,IN,"{'latitude': 28.621721088961102, 'longitude': 77.21893162903929}",2025-10-01 01:30:50.877925
Lucknow,Lucknow_Central,99.5,µg/m³,IN,"{'latitude': 28.677646037049925, 'longitude': 77.1010262616734}",2025-10-01 01:30:50.877925
Kanpur,Kanpur_Central,70.9,µg/m³,IN,"{'latitude': 28.613680555135762, 'longitude': 77.2031655154837}",2025-10-01 01:30:50.877925
Nagpur,Nagpur_Central,51.2,µg/m³,IN,"{'latitude': 28.736445877503563, 'longitude': 77.23359344587112}",2025-10-01 01:30:50.877925
Indore,Indore_Central,24.5,µg/m³,IN,"{'latitude': 28.680700295988633, 'longitude': 77.28028279994724}",2025-10-01 01:30:50.877925
Bhopal,Bhopal_Central,37.4,µg/m³,IN,"{'latitude': 28.63200640449295, 'longitude': 77.07740325576088}",2025-10-01 01:30:50.877925
Patna,Patna_Central,10.0,µg/m³,IN,"{'latitude': 28.752361789269283, 'longitude': 77.16731724459724}",2025-10-01 01:30:50.877925
Vadodara,Vadodara_Central,134.0,µg/m³,IN,"{'latitude': 28.563023586018645, 'longitude': 77.20774732761625}",2025-10-01 01:30:50.877925
Ludhiana,Ludhiana_Central,142.3,µg/m³,IN,"{'latitude': 28.628494245739194, 'longitude': 77.13556209713221}",2025-10-01 01:30:50.877925
Agra,Agra_Central,93.8,µg/m³,IN,"{'latitude': 28.574956794385447, 'longitude': 77.22138113575392}",2025-10-01 01:30:50.877925
Nashik,Nashik_Central,34.9,µg/m³,IN,"{'latitude': 28.59559884558359, 'longitude': 77.20662768041235}",2025-10-01 01:30:50.877925
Faridabad,Faridabad_Central,133.4,µg/m³,IN,"{'latitude': 28.69104812997267, 'longitude': 77.21790546260267}",2025-10-01 01:30:50.877925
Delhi,Delhi_Central,127.6,µg/m³,IN,"{'latitude': 28.611718025496256, 'longitude': 77.20639905029643}",2025-10-01 02:30:50.877925
Mumbai,Mumbai_Central,91.2,µg/m³,IN,"{'latitude': 28.660321502844255, 'longitude': 76.95247913887245}",2025-10-01 02:30:50.877925
Kolkata,Kolkata_Central,24.8,µg/m³,IN,"{'latitude': 28.51693245120354, 'longitude': 77.06173913567555}",2025-10-01 02:30:50.877925
Chennai,Chennai_Central,37.4,µg/m³,IN,"{'latitude': 28.90069314472228, 'longitude': 77.00599576013428}",2025-10-01 02:30:50.877925
Bangalore,Bangalore_Central,17.9,µg/m³,IN,"{'latitude': 28.681324542562532, 'longitude': 77.15417661237238}",2025-10-01 02:30:50.877925
Hyderabad,Hyderabad_Central,24.3,µg/m³,IN,"{'latitude': 28.737269240350315, 'longitude': 77.28248223241286}",2025-10-01 02:30:50.877925
Pune,Pune_Central,64.4,µg/m³,IN,"{'latitude': 28.612103066762653, 'longitude': 77.07529780253869}",2025-10-01 02:30:50.877925
Jaipur,Jaipur_Central,137.1,µg/m³,IN,"{'latitude': 28.581211500170827, 'longitude': 77.299328737007}",2025-10-01 02:30:50.877925
Lucknow,Lucknow_Central,146.6,µg/m³,IN,"{'latitude': 28.580080460171565, 'longitude': 77.31554278282842}",2025-10-01 02:30:50.877925
Kanpur,Kanpur_Central,99.6,µg/m³,IN,"{'latitude': 28.845540836028228, 'longitude': 77.28549280305333}",2025-10-01 02:30:50.877925
Indore,Indore_Central,31.6,µg/m³,IN,"{'latitude': 28.546585551498776, 'longitude': 77.0621267533382}",2025-10-01 02:30:50.877925
Bhopal,Bhopal_Central,61.0,µg/m³,IN,"{'latitude': 28.647025246832992, 'longitude': 76.99635076127204}",2025-10-01 02:30:50.877925
Patna,Patna_Central,31.6,µg/m³,IN,"{'latitude': 28.658262269727533, 'longitude': 77.21707919187304}",2025-10-01 02:30:50.877925
Vadodara,Vadodara_Central,46.3,µg/m³,IN,"{'latitude': 28.7301048287868, 'longitude': 77.22391100834021}",2025-10-01 02:30:50.877925
Ludhiana,Ludhiana_Central,126.7,µg/m³,IN,"{'latitude': 28.55993341355092, 'longitude': 77.25203366894888}",2025-10-01 02:30:50.877925
Agra,Agra_Central,208.8,µg/m³,IN,"{'latitude': 28.43954379901912, 'longitude': 77.2473401678117}",2025-10-01 02:30:50.877925
Nashik,Nashik_Central,37.9,µg/m³,IN,"{'latitude': 28.576556760782413, 'longitude': 77.27608181102892}",2025-10-01 02:30:50.877925
Faridabad,Faridabad_Central,143.9,µg/m³,IN,"{'latitude': 28.635857133232758, 'longitude': 77.1329998545731}",2025-10-01 02:30:50.877925
Delhi,Delhi_Central,86.8,µg/m³,IN,"{'latitude': 28.699551367867475, 'longitude': 77.4184912020858}",2025-10-01 03:30:50.877925
Mumbai,Mumbai_Central,82.5,µg/m³,IN,"{'latitude': 28.63348238466182, 'longitude': 77.14948201727651}",2025-10-01 03:30:50.877925
Kolkata,Kolkata_Central,77.9,µg/m³,IN,"{'latitude': 28.601442623737075, 'longitude': 77.26831524200628}",2025-10-01 03:30:50.877925
Chennai,Chennai_Central,83.3,µg/m³,IN,"{'latitude': 28.72607862800084, 'longitude': 77.17965633984402}",2025-10-01 03:30:50.877925
Bangalore,Bangalore_Central,18.5,µg/m³,IN,"{'latitude': 28.654854629152027, 'longitude': 77.17045970085202}",2025-10-01 03:30:50.877925
Hyderabad,Hyderabad_Central,74.1,µg/m³,IN,"{'latitude': 28.598311072172056, 'longitude': 77.2519344145897}",2025-10-01 03:30:50.877925
Pune,Pune_Central,42.4,µg/m³,IN,"{'latitude': 28.826752142118153, 'longitude': 77.16451674274755}",2025-10-01 03:30:50.877925
Ahmedabad,Ahmedabad_Central,130.9,µg/m³,IN,"{'latitude': 28.75915287990671, 'longitude': 77.41476850431265}",2025-10-01 03:30:50.877925
Jaipur,Jaipur_Central,21.1,µg/m³,IN,"{'latitude': 28.72194742139825, 'longitude': 77.16792035442414}",2025-10-01 03:30:50.877925
